Bug_id,Detailed Fix,Semantic Categorization,Comment,,,,,,,,,,,,,,,,,,,
Chart_2b5,"1241a1249
>                     double value = ixyd.getYValue(series, item);^M
1243a1252,1255
>                     if (!Double.isNaN(value)) {^M
>                         minimum = Math.min(minimum, value);^M
>                         maximum = Math.max(maximum, value);^M
>                     }^M",DU:Def-and-use,DU location distance: 2,,,,,,,,,,,,,,,,,,,
Chart_2b6,"754a755
>                     double value = intervalXYData.getXValue(series, item);^M
756a758,761
>                     if (!Double.isNaN(value)) {^M
>                         minimum = Math.min(minimum, value);^M
>                         maximum = Math.max(maximum, value);^M
>                     }^M",DU:Def-and-use,DU location distance: 2,,,,,,,,,,,,,,,,,,,
Chart_4b1,"4492a4493
>                 if (r != null) {^M
4500a4502
>                 }^M",OA:One-action,OA location distance: 8,,,,,,,,,,,,,,,,,,,
Chart_15b1,"1377a1378,1380
>         if (this.dataset == null) {^M
>             return 0.0;^M
>         }^M
2050a2054
>         if (this.dataset != null) {^M
2052a2057
>         }^M","RIF:Related-issue-fix
OA:One-action","Related-issue: Failure due to dataset being null in both locations. SAME-VARIABLE-HAS-SAME-PROBLEM

OA location distance: 2",,,,,,,,,,,,,,,,,,,
Chart_18b2,"318d317
<         if (index < this.keys.size()) {
320d318
<         }",OA:One-action,OA location distance: 2,,,,,,,,,,,,,,,,,,,
Chart_18b3,"diff -r Chart_18_buggy/source/org/jfree/data/DefaultKeyedValues.java Chart_18_fixed/source/org/jfree/data/DefaultKeyedValues.java
318d317
<         if (index < this.keys.size()) {
320d318
<         }
diff -r Chart_18_buggy/source/org/jfree/data/DefaultKeyedValues2D.java Chart_18_fixed/source/org/jfree/data/DefaultKeyedValues2D.java
454a455,460
>       if (columnKey == null) {^M
>               throw new IllegalArgumentException(""Null 'columnKey' argument."");^M
>       }^M
>       if (!this.columnKeys.contains(columnKey)) {^M
>               throw new UnknownKeyException(""Unknown key: "" + columnKey);^M
>       }^M","OA:One-action
DIF:Different-issue-fix","First fix tackles an exception raised by executing the test line ""d.addValue(new Double(3.0), ""R2"", ""C2"");"". 
Second fix is used to address a failing assertion caused by removing a non-existent value ""d.removeColumn(""XXX"")"".
One can identify progress by checking which test line causes the failure.

OA location distance: 2",,,,,,,,,,,,,,,,,,,
Chart_22b4,"231d230
<         if (row >= 0) {^M
233c232,234
<             return rowData.getObject(columnKey);^M
---
>         int index = rowData.getIndex(columnKey);^M
>         if (index >= 0) {^M
>             return rowData.getObject(index);^M",EOH:Essentially-one-hunk,"Removing the ""if (row >= 0)"" part is not needed. As method has already checked whether row is less than 0 before doing the fix.

First fix is created only for readability enhancement.",,,,,,,,,,,,,,,,,,,
Chart_25b3,"459c468,470
<             double valueDelta = dataset.getStdDevValue(row, column).doubleValue();^M
---
>         Number n = dataset.getStdDevValue(row, column);^M
>         if (n != null) {^M
>             double valueDelta = n.doubleValue();^M
486a498
>         }^M",OA:One-action,OA location distance: 27,,,,,,,,,,,,,,,,,,,
Chart_25b4,"315c318,320
<             double valueDelta = dataset.getStdDevValue(row, column).doubleValue();^M
---
>         Number n = dataset.getStdDevValue(row, column);^M
>         if (n != null) {^M
>             double valueDelta = n.doubleValue();^M
343a349
>         }^M",OA:One-action,OA location distance: 28,,,,,,,,,,,,,,,,,,,
Chart_26b1,"1191a1192
>             if (owner != null) {^M
1196a1198
>             }^M",OA:One-action,OA location distance: 5,,,,,,,,,,,,,,,,,,,
Lang_5b1,"96a97,116
>         if (ch0 == '_') {
>             if (len < 3) {
>                 throw new IllegalArgumentException(""Invalid locale format: "" + str);
>             }
>             final char ch1 = str.charAt(1);
>             final char ch2 = str.charAt(2);
>             if (!Character.isUpperCase(ch1) || !Character.isUpperCase(ch2)) {
>                 throw new IllegalArgumentException(""Invalid locale format: "" + str);
>             }
>             if (len == 3) {
>                 return new Locale("""", str.substring(1, 3));
>             }
>             if (len < 5) {
>                 throw new IllegalArgumentException(""Invalid locale format: "" + str);
>             }
>             if (str.charAt(3) != '_') {
>                 throw new IllegalArgumentException(""Invalid locale format: "" + str);
>             }
>             return new Locale("""", str.substring(1, 3), str.substring(4));
>         } else {
127a148
>         }",OA:One-action,OA location distance: 31,,,,,,,,,,,,,,,,,,,
Lang_13b1,"238a239,240
>         private static final Map<String, Class<?>> primitiveTypes =
>                 new HashMap<String, Class<?>>();
251a254,262
>             primitiveTypes.put(""byte"", byte.class);
>             primitiveTypes.put(""short"", short.class);
>             primitiveTypes.put(""int"", int.class);
>             primitiveTypes.put(""long"", long.class);
>             primitiveTypes.put(""float"", float.class);
>             primitiveTypes.put(""double"", double.class);
>             primitiveTypes.put(""boolean"", boolean.class);
>             primitiveTypes.put(""char"", char.class);
>             primitiveTypes.put(""void"", void.class);
267a279
>                 try {
268a281,287
>                 } catch (ClassNotFoundException cnfe) {
>                     Class<?> cls = primitiveTypes.get(name);
>                     if (cls != null)
>                         return cls;
>                     else
>                         throw cnfe;
>                 }","DU:Def-and-use
SU:Setup-and-use
OA:One-action","The multi-hunk fix is created for getting the class type for a primitive type.
 
The first two hunks are to set up a map saving the names of the primitive types and their classes. This map is further used in the catch block to handle primitive values (for getting their types).

DU location distance: 29 (class field involved)
SU location distance: 16 (class field involved)
OA location distance: 1",,,,,,,,,,,,,,,,,,,
Lang_23b1,"72a73
>     private static final int HASH_SEED = 31;
268a293,299
>     @Override
>     public int hashCode() {
>         int result = super.hashCode();
>         result = HASH_SEED * result + ObjectUtils.hashCode(registry);
>         result = HASH_SEED * result + ObjectUtils.hashCode(toPattern);
>         return result;
>     }",DU:Def-and-use,"hashCode() is what's needed for a change. equals() is also changed but not necessary. Defensive coding.

DU location distance: 196 (class field involved)",,,,,,,,,,,,,,,,,,,
Lang_28b1,"62a63,67
>             if(entityValue > 0xFFFF) {
>                 char[] chrs = Character.toChars(entityValue);
>                 out.write(chrs[0]);
>                 out.write(chrs[1]);
>             } else {
63a69
>             }",OA:One-action,OA location distance: 1,,,,,,,,,,,,,,,,,,,
Lang_30b1,"1455c1455,1456
<                     if (i < csLast && j < searchLast && ch >= Character.MIN_HIGH_SURROGATE && ch <= Character.MAX_HIGH_SURROGATE) {
---
>                     if (Character.isHighSurrogate(ch)) {
>                         if (j == searchLast) {
1457c1458,1460
<                         if (searchChars[j + 1] == cs.charAt(i + 1)) {
---
>                             return true;
>                         }
>                         if (i < csLast && searchChars[j + 1] == cs.charAt(i + 1)) {",ONPF:Original-and-new-problem-fix,"<<<NEW>>>
First fix is used to take care of a special case where searchChars only contains a high surrogate (so containsAny should return true because it is either equal to or a subsequence of the given charsequence).

With the first fix made, the second fix (i<csLast) is needed to avoid a new problem (an index-of-bounds-exception).


<<<OLD>>>
For the original program, problem occurs when searchChars[i] == ch but i is no less than csLast (e.g., i is 0 and is equal to csLast), in which case, the code will return true, but should return false, because the charsequence can be a subsequence of searchChars.

New code uses one hunk to create a fix that handles a special case where searchChars only contains a high surrogate (so containsAny should return true because it is either equal to or a subsequence of the given charsequence). Another hunk is used to handle the more general case to compare both high and low surrogates.

",,,,,,,,,,,,,,,,,,,
Lang_30b2,"1576c1576,1579
<             if (searchChars.indexOf(ch) < 0) {
---
>             boolean chFound = searchChars.indexOf(ch) >= 0;
>             if (i + 1 < strLen && Character.isHighSurrogate(ch)) {
>                 char ch2 = str.charAt(i + 1);
>                 if (chFound && searchChars.indexOf(ch2) < 0) {
1578c1581,1586
<             }
---
>                 }
>             } else {
>                 if (!chFound) {
>                     return i;
>                 }
>              }",EOH:Essentially-one-hunk,"This is essentially a one-hunk fix where the first partial patch is used handle a special case where ch is supplementary.

The two hunks of fixes are divided only by a trivial ``return i'' can be mergeable. If the first fix is applied only, the program doesn't compile. ",,,,,,,,,,,,,,,,,,,
Lang_31b1,"1445a1446,1447
>               int csLastIndex = csLength - 1;
>               int searchLastIndex = searchLength - 1;
1449a1452
>                                       if (i < csLastIndex && j < searchLastIndex && ch >= Character.MIN_HIGH_SURROGATE && ch <= Character.MAX_HIGH_SURROGATE) {
1450a1454,1457
>                                               if (searchChars[j + 1] == cs.charAt(i + 1)) {
>                                                       return true;
>                                               }
>                                       } else {
1452a1460
>                                       }","DU:Def-and-use
OA:One-action","Fixes are created essentially to handle the case where supplementary chars exist.
For supplementary chars, one needs to compare both high and low surrogate chars, not just one char.

Note that hunks of 1449 and 1450 are separated by comments only.

DU location distance: 4
OA location distance: 3",,,,,,,,,,,,,,,,,,,
Lang_34b1,"148c148
<         return REGISTRY.get() != null ? REGISTRY.get() : Collections.<Object, Object>emptyMap();
---
>         return REGISTRY.get();
164c164
<         return m.containsKey(value);
---
>         return m != null && m.containsKey(value);",ONPF:Original-and-new-problem-fix,"The code is changed to allow null registry. Then another place, which uses the registry result, needs a null checker. This is a STANDARD case for new-problem-triggering fix.
Fixing h1 can cause all of the original failing tests to pass but will also cause a set of new tests to fail.
",,,,,,,,,,,,,,,,,,,
Lang_41b1,"245c258
<         if (className == null) {
---
>         if (className == null || className.length() == 0) {
249a263,265
>         while (className.charAt(0) == '[') {
>             className = className.substring(1);
>         }
250a267,269
>         if (className.charAt(0) == 'L' && className.charAt(className.length() - 1) == ';') {
>             className = className.substring(1);
>         }","ONPF:Original-and-new-problem-fix
EOH:Essentially-one-hunk","The target method is getPackageName. Given a class name, the method returns the package name. The fixes handle different issues: one to handle ZERO-length strings and the others to handle array/object type encoding.

Note that the two last are essentially one hunk, as they are separated by comments.

Also note that without the last two fixes performed, a classname with zero length will have a EMPTY package name, which means the first fix is unneeded. This is because the following code has i == -1 when className.length() is 0, and thus returns StringUtils.EMPTY. This implies the first fix is a new problem caused the others.

int i = className.lastIndexOf(PACKAGE_SEPARATOR_CHAR);
if (i == -1) {
        return StringUtils.EMPTY;
}",,,,,,,,,,,,,,,,,,,
Lang_41b2,"190a191
>         StringBuffer arrayPrefix = new StringBuffer();
192a194,198
>         if (className.startsWith(""["")) {
>             while (className.charAt(0) == '[') {
>                 className = className.substring(1);
>                 arrayPrefix.append(""[]"");
>             }
193a200,203
>             if (className.charAt(0) == 'L' && className.charAt(className.length() - 1) == ';') {
>                 className = className.substring(1, className.length() - 1);
>             }
>         }
203c216
<         return out;
---
>         return out + arrayPrefix;","EOH:Essentially-one-hunk
DU:Def-and-use","The first three hunks (essentially one and only separated by comments) are used primarily to compute a prefix value, arrayPrefix, that handles array encoding and object type encoding and is later used to return as an update short class name.

In addition, classname has also been updated (set up) for further use.

Def-and-use is created for special-case handling (array encoding and object type encoding).

DU location distance: 2",,,,,,,,,,,,,,,,,,,
Lang_41b3,"191c191,192
< 
---
>         StringBuffer arrayPrefix = new StringBuffer();
>  
193,195c194,208
<             // Strip Object type encoding
< 
< 
---
>         if (className.startsWith(""["")) {
>             while (className.charAt(0) == '[') {
>                 className = className.substring(1);
>                 arrayPrefix.append(""[]"");
>             }
>              // Strip Object type encoding
>             if (className.charAt(0) == 'L' && className.charAt(className.length() - 1) == ';') {
>                 className = className.substring(1, className.length() - 1);
>             }
>         }
>  
>         if (reverseAbbreviationMap.containsKey(className)) {
>             className = reverseAbbreviationMap.get(className);
>         }
>  
203c216
<         return out;
---
>         return out + arrayPrefix;","EOH:Essentially-one-hunk
DU:Def-and-use","Similar with Lang_41b2, some partial patches are due to the reason that there are comments in between.

DU location distance: 2",,,,,,,,,,,,,,,,,,,
Lang_62b1,"849a850,852
>                             if (entityValue > 0xFFFF) {
>                                 entityValue = -1;
>                             }
924a929,931
>                                 if (entityValue > 0xFFFF) {
>                                     entityValue = -1;
>                                 }",RIF:Related-issue-fix,"A entity value is compared against 0xFFFF for validity checking. The same fix has been applied twice at different but related methods: one for directly unescaping the string (unescape(string)), the other for unescaping the string and then putting it in a writer (unescape(Writer, String)).

The test case calls both the methods for testing. These hunks are isolated into one bug, although one may consider them as two different fixes.",,,,,,,,,,,,,,,,,,,
Lang_62b2,"849a850,852
>                             if (entityValue > 0xFFFF) {
>                                 entityValue = -1;
>                             }
919a923
>                                         break;
924a929,931
>                                 if (entityValue > 0xFFFF) {
>                                     entityValue = -1;
>                                 }","RIF:Related-issue-fix
DIF:Different-issue-fix","The two checks comparing entityValue against 0xFFFF are, as explained in Lang_62b1, related-issue-fix.

The two fixes (1) by adding a break and (2) by adding a entityValue check are created to address different problems, one to avoid a switch fall-through problem that assigns a wrong value to the updated entityValue; and the other to check against the maximum value (entityValue > 0xFFFF) to determine its validity.",,,,,,,,,,,,,,,,,,,
Lang_65b1,"623a624,626
>         if (field == Calendar.MILLISECOND) {
>             return;
>         }
630a634,636
>         Date date = val.getTime();
>         long time = date.getTime();
>         boolean done = false;
632a639,645
>         int millisecs = val.get(Calendar.MILLISECOND);
>         if (!round || millisecs < 500) {
>             time = time - millisecs;
>             if (field == Calendar.SECOND) {
>                 done = true;
>             }
>         }
...
...
638a663,666
>         if (date.getTime() != time) {
>             date.setTime(time);
>             val.setTime(date);
>         }
708a737
>             if (offset != 0) {
709a739
>             }","EOH:Essentially-one-hunk
FU:Fix-and-undo","The hunks except the last one are really just one big hunk, as they are separated by comments.
The first big fix (hunk) is created only to handle the main part, i.e., truncate the date.
The second fix (hunk) is mainly for cleanup. It is used to undo setting the calendar field, as this has already been done by the first fix.

NOTE: Lang_65b1/b2/b3 have different parts missing in the first big merged hunk. The types of fixes are however the same.",,,,,,,,,,,,,,,,,,,
